frame_id,f_thumb,f_index,f_middle,d_ti,d_tm,d_im,area_tri,F,D,A_s,D_s,F_s,progress,drive
0,0.010716978460550308,0.2517007291316986,0.5042988061904907,2.426089286804199,2.9344682693481445,0.7753404378890991,0.7762799859046936,0.2310866415500641,2.0452992916107178,0.5215682983398438,1.1875762939453125,0.13206413388252258,0.0,0.0
1,0.027042407542467117,0.22697992622852325,0.4967925250530243,2.555171251296997,3.0123555660247803,0.8011715412139893,0.906215250492096,0.22794869542121887,2.122899293899536,0.6537566781044006,1.4789308309555054,0.16593576967716217,0.0,-0.13012023270130157
2,0.03210839629173279,0.2077324092388153,0.49785923957824707,2.5131988525390625,2.9429328441619873,0.831701934337616,0.9599484801292419,0.22452086210250854,2.09594464302063,0.7821102738380432,1.7627228498458862,0.2008836567401886,0.0,-0.12599468231201172
3,0.05612532049417496,0.20817090570926666,0.5199709534645081,2.454829692840576,2.831545352935791,0.8602959513664246,1.0085344314575195,0.2408926784992218,2.0488903522491455,0.9166948795318604,2.0446624755859375,0.23487919569015503,0.0,-0.12821705639362335
4,0.04294396936893463,0.216300368309021,0.5167791843414307,2.4361350536346436,2.8582611083984375,0.8240475058555603,0.9253183007240295,0.2371014654636383,2.0394814014434814,0.9323973655700684,2.017226219177246,0.23862820863723755,0.0,0.0030745863914489746
5,0.05404267460107803,0.22105121612548828,0.522342324256897,2.3787007331848145,2.7722394466400146,0.8086934685707092,0.8984752297401428,0.24463513493537903,1.9865444898605347,0.9255506992340088,1.971642255783081,0.2451319396495819,0.0,0.018364975228905678
6,0.0517144575715065,0.2104942351579666,0.5137824416160583,2.3575820922851562,2.7261242866516113,0.8370228409767151,0.9420928359031677,0.2379688024520874,1.9735764265060425,0.9049167633056641,1.9196126461029053,0.2524380385875702,0.0,0.02605428919196129
7,0.07911200821399689,0.21155789494514465,0.540725588798523,2.2934181690216064,2.4900054931640625,0.7763164639472961,0.8861969113349915,0.2573298513889313,1.8532466888427734,0.8653355836868286,1.8644139766693115,0.25737494230270386,0.0,0.033873144537210464
8,0.08791348338127136,0.23251798748970032,0.5618466138839722,2.2571520805358887,2.3936727046966553,0.7606086134910583,0.8582888245582581,0.273474782705307,1.8038110733032227,0.839038610458374,1.8002432584762573,0.2617369592189789,0.0,0.031078610569238663
9,0.07363466918468475,0.23902305960655212,0.5816751718521118,2.166940689086914,2.275327682495117,0.7529424428939819,0.815511167049408,0.2756633460521698,1.7317370176315308,0.8109873533248901,1.7308921813964844,0.26506614685058594,0.0,0.033024583011865616
10,0.10031381249427795,0.2235131412744522,0.5609055161476135,2.0854523181915283,2.200556516647339,0.7014935612678528,0.7314654588699341,0.275451123714447,1.6625008583068848,0.7693648338317871,1.6508984565734863,0.27091142535209656,0.0,0.04240071028470993
11,0.09304209053516388,0.2336243987083435,0.5344382524490356,1.947708249092102,2.0613348484039307,0.761814534664154,0.741239607334137,0.26763564348220825,1.5902858972549438,0.7364805340766907,1.587072491645813,0.27276864647865295,0.0,0.032858677208423615
12,0.06990815699100494,0.24784447252750397,0.5520754456520081,1.8089395761489868,1.9159326553344727,0.7783869504928589,0.7021164298057556,0.2679392397403717,1.5010863542556763,0.6957928538322449,1.5168523788452148,0.2744620442390442,0.0,0.037849124521017075
13,0.07092256844043732,0.2627699673175812,0.572286069393158,1.6875213384628296,1.7772990465164185,0.7760421633720398,0.6507349610328674,0.2788858413696289,1.4136208295822144,0.6502972841262817,1.4504653215408325,0.2776789963245392,0.0,0.03907943144440651
14,0.04667127504944801,0.26886701583862305,0.5700061917304993,1.660212516784668,1.7646257877349854,0.7945570349693298,0.6560072898864746,0.2703304886817932,1.4064650535583496,0.6178880333900452,1.394103765487671,0.2802220582962036,0.0,0.030635086819529533
15,0.08279648423194885,0.25915998220443726,0.5815403461456299,1.544177532196045,1.6460784673690796,0.7465547919273376,0.573474645614624,0.2853286862373352,1.3122702836990356,0.5906230807304382,1.3534973859786987,0.28314629197120667,0.0,0.02396516688168049
16,0.11260654777288437,0.2828119695186615,0.5609856247901917,1.4227533340454102,1.6728904247283936,0.7054389119148254,0.4970424473285675,0.2981818914413452,1.267027497291565,0.5647968649864197,1.3204766511917114,0.28574785590171814,0.0,0.021017177030444145
17,0.11142489314079285,0.27710169553756714,0.5518401265144348,1.4129663705825806,1.6701730489730835,0.7207699418067932,0.5046005249023438,0.29325252771377563,1.2679697275161743,0.5444322228431702,1.2996702194213867,0.2866479456424713,0.0,0.014657813124358654
18,0.11510194092988968,0.26695799827575684,0.5399234890937805,1.4500572681427002,1.7050797939300537,0.7629881501197815,0.550385057926178,0.2881052494049072,1.3060417175292969,0.5211026072502136,1.2758431434631348,0.2883926033973694,1.0323419570922852,0.017003366723656654
19,0.10239939391613007,0.2736440598964691,0.5436574816703796,1.3989580869674683,1.6607049703598022,0.7501590251922607,0.5213326811790466,0.2861502170562744,1.269940733909607,0.5123119354248047,1.264841079711914,0.2871641516685486,1.2000000476837158,0.006448352709412575
20,0.08626871556043625,0.2830541729927063,0.5525425672531128,1.4056591987609863,1.6685874462127686,0.7296810150146484,0.5081828236579895,0.2851865291595459,1.267975926399231,0.519474983215332,1.264784812927246,0.28452593088150024,1.2000000476837158,-0.003639805596321821
21,0.07441449165344238,0.28334617614746094,0.5592442154884338,1.3874627351760864,1.6182299852371216,0.7133324146270752,0.49270039796829224,0.2825429439544678,1.2396750450134277,0.5260050296783447,1.2646028995513916,0.28220605850219727,0.0,-0.0032534063793718815
22,0.0690966546535492,0.2735736072063446,0.5567291378974915,1.3742929697036743,1.586006999015808,0.7454702854156494,0.511939525604248,0.2767294943332672,1.2352567911148071,0.5226911902427673,1.2569997310638428,0.28091365098953247,0.08574226498603821,0.0032187639735639095
23,0.09309345483779907,0.26069769263267517,0.5475590229034424,1.415656328201294,1.6111955642700195,0.7730485200881958,0.547183632850647,0.2797144055366516,1.2666335105895996,0.5184944868087769,1.2502151727676392,0.28029605746269226,1.2000000476837158,0.0035287707578390837
24,0.08598776906728745,0.26294025778770447,0.5457872748374939,1.4052417278289795,1.6116141080856323,0.7832323908805847,0.5503106713294983,0.2770133912563324,1.2666960954666138,0.5195342898368835,1.2456985712051392,0.27971071004867554,1.2000000476837158,0.0007634550565853715
25,0.07787120342254639,0.27415740489959717,0.5522094964981079,1.3864223957061768,1.6107966899871826,0.7612416744232178,0.5271886587142944,0.279058575630188,1.2528202533721924,0.5208045244216919,1.243820071220398,0.2795640230178833,0.9994803071022034,1.1450072634033859e-05
26,0.0810697078704834,0.2755171060562134,0.5558134317398071,1.3672598600387573,1.579423427581787,0.7206627130508423,0.4919556975364685,0.28182706236839294,1.222448706626892,0.44767025113105774,1.0673549175262451,0.24003124237060547,1.2000000476837158,0.07033342123031616
27,0.07894062995910645,0.2749878764152527,0.5567210912704468,1.374021291732788,1.5844520330429077,0.750604510307312,0.5154613256454468,0.2810889482498169,1.2363592386245728,0.36950117349624634,0.8864072561264038,0.2000720500946045,1.2000000476837158,0.07356417179107666
28,0.08435904234647751,0.27545881271362305,0.5504499673843384,1.3384267091751099,1.589009165763855,0.7521424889564514,0.501591682434082,0.28151625394821167,1.226526141166687,0.2908853590488434,0.7054506540298462,0.160498708486557,1.2000000476837158,0.07386130839586258
